ScoreRange,ScoreImage,Title,Description
0-0,quiz-images/quiz-1.jpg,At least you tried,You got 0 out of 10. No offense—you might want to read up on your U.S. history again.
1-1,quiz-images/quiz-1.jpg,At least you tried,You got 1 out of 10. No offense—you might want to read up on your U.S. history again.
2-2,quiz-images/quiz-1.jpg,At least you tried,You got 2 out of 10. No offense—you might want to read up on your U.S. history again.
3-3,,At least you tried,You got 3 out of 10. No offense—you might want to read up on your U.S. history again.
4-4,,OK,You got 4 out of 10. Not too bad!
5-5,,OK,You got 5 out of 10. Not too bad!
6-6,,OK,You got 6 out of 10. Not too bad!
7-7,,OK,You got 7 out of 10. Not too bad!
8-8,,Great!,You got 8 out of 10. Outstanding! Have you ever considered teaching AP U.S. history?
9-9,,Great!,You got 8 out of 10. Outstanding! Have you ever considered teaching AP U.S. history?
10-10,,Great!,You got 8 out of 10. Outstanding! Have you ever considered teaching AP U.S. history?
